LocusID	Species	N_individuals	AlnSeqLength	N_sites_noN	AvgSeqLg_noN	N_SNPsBi	N_SNPs_Mult	GC_content	NbRec	SNP_coverage
Locus1	set_100	4	600	600	600	83	0	0.051	5	1.0
Locus2	set_100	4	600	600	600	76	0	0.043	4	1.0
Locus3	set_100	4	600	600	600	76	0	0.045	2	1.0
Locus4	set_100	4	600	600	600	80	0	0.038	5	1.0
Locus5	set_100	4	600	600	600	78	0	0.040	6	1.0
Locus6	set_100	4	600	600	600	76	0	0.052	2	1.0
Locus7	set_100	4	600	600	600	78	0	0.046	6	1.0
Locus8	set_100	4	600	600	600	71	0	0.050	6	1.0
Locus9	set_100	4	600	600	600	76	0	0.049	5	1.0
Locus10	set_100	4	600	600	600	77	0	0.041	2	1.0
Locus11	set_100	4	600	600	600	78	0	0.049	5	1.0
Locus12	set_100	4	600	600	600	79	0	0.040	6	1.0
Locus13	set_100	4	600	600	600	78	0	0.059	1	1.0
Locus14	set_100	4	600	600	600	74	0	0.057	1	1.0
Locus15	set_100	4	600	600	600	83	0	0.052	1	1.0
Locus16	set_100	4	600	600	600	73	0	0.042	3	1.0
Locus17	set_100	4	600	600	600	80	0	0.038	5	1.0
Locus18	set_100	4	600	600	600	78	0	0.054	3	1.0
Locus19	set_100	4	600	600	600	78	0	0.054	4	1.0
Locus20	set_100	4	600	600	600	75	0	0.040	4	1.0
Locus21	set_100	4	600	600	600	80	0	0.044	3	1.0
Locus22	set_100	4	600	600	600	77	0	0.041	5	1.0
Locus23	set_100	4	600	600	600	78	0	0.039	2	1.0
Locus24	set_100	4	600	600	600	77	0	0.051	2	1.0
Locus25	set_100	4	600	600	600	74	0	0.054	2	1.0
Locus26	set_100	4	600	600	600	81	0	0.041	2	1.0
Locus27	set_100	4	600	600	600	79	0	0.052	3	1.0
Locus28	set_100	4	600	600	600	78	0	0.047	6	1.0
Locus29	set_100	4	600	600	600	76	0	0.049	6	1.0
Locus30	set_100	4	600	600	600	77	0	0.047	1	1.0
Locus31	set_100	4	600	600	600	83	0	0.063	4	1.0
Locus32	set_100	4	600	600	600	78	0	0.044	0	1.0
Locus33	set_100	4	600	600	600	81	0	0.056	5	1.0
Locus34	set_100	4	600	600	600	76	0	0.045	3	1.0
Locus35	set_100	4	600	600	600	80	0	0.043	4	1.0
Locus36	set_100	4	600	600	600	78	0	0.056	3	1.0
Locus37	set_100	4	600	600	600	76	0	0.034	5	1.0
Locus38	set_100	4	600	600	600	77	0	0.039	4	1.0
Locus39	set_100	4	600	600	600	76	0	0.043	10	1.0
Locus40	set_100	4	600	600	600	79	0	0.044	7	1.0
Locus41	set_100	4	600	600	600	77	0	0.046	3	1.0
Locus42	set_100	4	600	600	600	75	0	0.052	2	1.0
Locus43	set_100	4	600	600	600	79	0	0.040	5	1.0
Locus44	set_100	4	600	600	600	73	0	0.038	2	1.0
Locus45	set_100	4	600	600	600	75	0	0.053	2	1.0
Locus46	set_100	4	600	600	600	73	0	0.044	3	1.0
Locus47	set_100	4	600	600	600	81	0	0.049	6	1.0
Locus48	set_100	4	600	600	600	81	0	0.049	7	1.0
Locus49	set_100	4	600	600	600	79	0	0.038	7	1.0
Locus50	set_100	4	600	600	600	79	0	0.045	7	1.0
Locus51	set_100	4	600	600	600	79	0	0.053	1	1.0
Locus52	set_100	4	600	600	600	76	0	0.044	6	1.0
Locus53	set_100	4	600	600	600	81	0	0.044	3	1.0
Locus54	set_100	4	600	600	600	78	0	0.048	2	1.0
Locus55	set_100	4	600	600	600	73	0	0.047	2	1.0
Locus56	set_100	4	600	600	600	77	0	0.052	2	1.0
Locus57	set_100	4	600	600	600	78	0	0.039	9	1.0
Locus58	set_100	4	600	600	600	78	0	0.046	3	1.0
Locus59	set_100	4	600	600	600	80	0	0.046	4	1.0
Locus60	set_100	4	600	600	600	75	0	0.045	5	1.0
Locus61	set_100	4	600	600	600	74	0	0.043	5	1.0
Locus62	set_100	4	600	600	600	74	0	0.049	3	1.0
Locus63	set_100	4	600	600	600	75	0	0.039	8	1.0
Locus64	set_100	4	600	600	600	75	0	0.043	6	1.0
Locus65	set_100	4	600	600	600	78	0	0.049	1	1.0
Locus66	set_100	4	600	600	600	76	0	0.046	4	1.0
Locus67	set_100	4	600	600	600	81	0	0.047	5	1.0
Locus68	set_100	4	600	600	600	73	0	0.045	5	1.0
Locus69	set_100	4	600	600	600	78	0	0.042	3	1.0
Locus70	set_100	4	600	600	600	77	0	0.040	5	1.0
Locus71	set_100	4	600	600	600	74	0	0.052	3	1.0
Locus72	set_100	4	600	600	600	74	0	0.036	3	1.0
